id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Avesta kommun,Avesta kommun,Avesta,0,9,2084,Q500071,municipality,Dalarnas län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8349,Södra Dalarnas kommunalförbund,,"Heby kommun,Norbergs kommun,Sala kommun,Hofors kommun,Sandvikens kommun,Hedemora kommun"
Båstads kommun,Båstads kommun,Båstad,0,9,1278,Q499464,municipality,Skåne län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8448,,,"Laholms kommun,Ängelholms kommun"
Bengtsfors kommun,Bengtsfors kommun,Bengtsfors,0,9,1460,Q267462,municipality,Västra Götalands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8619,,,"Säffle kommun,Åmåls kommun,Dals-Eds kommun,Melleruds kommun,Färgelanda kommun,Årjängs kommun"
Bergs kommun,Bergs kommun,Berg,0,9,2326,Q845930,municipality,Jämtlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8385,Jämtland kommunalförbund,,"Härjedalens kommun,Åre kommun,Östersunds kommun,Ånge kommun,Bräcke kommun"
Bjurholms kommun,Bjurholms kommun,Bjurholm,0,9,2403,Q376003,municipality,Västerbottens län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8581,,,"Vindelns kommun,Nordmalings kommun,Lycksele kommun,Örnsköldsviks kommun,Åsele kommun,Vännäs kommun"
Bjuvs kommun,Bjuvs kommun,Bjuv,0,9,1260,Q511310,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8445,Nordvästra Skånes kommunalförbund,,"Helsingborgs kommun,Svalövs kommun,Åstorps kommun"
Bodens kommun,Bodens kommun,Boden,0,9,2582,Q509476,municipality,Norrbottens län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8441,,,"Piteå kommun,Luleå kommun,Älvsbyns kommun,Gällivare kommun,Jokkmokks kommun,Överkalix kommun"
Bollebygds kommun,Bollebygds kommun,Bollebygd,1995-01-01,9,1443,Q503102,municipality,Västra Götalands län,,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8620,Södra Älvsborgs kommunalförbund,,"Borås kommun,Marks kommun,Härryda kommun,Alingsås kommun,Lerums kommun,Vårgårda kommun"
Bollnäs kommun,Bollnäs kommun,Bollnäs,0,9,2183,Q62469,municipality,Gävleborgs län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8367,Södra Hälsinglands kommunalförbund,,"Ockelbo kommun,Ljusdals kommun,Ovanåkers kommun,Falu kommun,Hudiksvalls kommun,Söderhamns kommun"
Borås kommun,Borås kommun,Borås,0,9,1490,Q894327,municipality,Västra Götalands län,,Större stad,Större städer och kommuner nära större stad,8621,Södra Älvsborgs kommunalförbund,,"Svenljunga kommun,Marks kommun,Bollebygds kommun,Herrljunga kommun,Vårgårda kommun,Ulricehamns kommun,Tranemo kommun"
Borgholms kommun,Borgholms kommun,Borgholm,0,9,885,Q509546,municipality,Kalmar län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8408,Ölands kommunalförbund,,Mörbylånga kommun
Borlänge kommun,Borlänge kommun,Borlänge,0,9,2081,Q503209,municipality,Dalarnas län,,Större stad,Större städer och kommuner nära större stad,8350,Kommunalförbundet DalaMitt,,"Ludvika kommun,Leksands kommun,Gagnefs kommun,Falu kommun,Säters kommun"
Botkyrka kommun,Botkyrka kommun,Botkyrka,0,9,127,Q113718,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8495,Södertörns kommunalförbund,,"Södertälje kommun,Nynäshamns kommun,Salems kommun,Ekerö kommun,Huddinge kommun,Haninge kommun"
