id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Högsby kommun,Högsby kommun,Högsby,0,9,821,Q510233,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8411,,,"Uppvidinge kommun,Vetlanda kommun,Oskarshamns kommun,Nybro kommun,Mönsterås kommun,Hultsfreds kommun"
Höörs kommun,Höörs kommun,Höör,0,9,1267,Q266401,municipality,Skåne län,Stormalmö,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8454,Kommunalförbundet Skånemitt,,"Eslövs kommun,Hässleholms kommun,Hörby kommun,Klippans kommun"
Hörby kommun,Hörby kommun,Hörby,0,9,1266,Q504619,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8453,Kommunalförbundet Skånemitt,,"Eslövs kommun,Hässleholms kommun,Kristianstads kommun,Tomelilla kommun,Höörs kommun,Sjöbo kommun"
Huddinge kommun,Huddinge kommun,Huddinge,0,9,126,Q492575,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8499,Södertörns kommunalförbund,,"Botkyrka kommun,Nacka kommun,Stockholms kommun,Tyresö kommun,Haninge kommun"
Hudiksvalls kommun,Hudiksvalls kommun,Hudiksvall,0,9,2184,Q29963,municipality,Gävleborgs län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8370,Norrhälsinge kommunalförbund,,"Ånge kommun,Ljusdals kommun,Nordanstigs kommun,Söderhamns kommun,Bollnäs kommun"
Hultsfreds kommun,Hultsfreds kommun,Hultsfred,0,9,860,Q512002,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8410,,,"Uppvidinge kommun,Eksjö kommun,Vetlanda kommun,Oskarshamns kommun,Högsby kommun,Vimmerby kommun"
Hylte kommun,Hylte kommun,Hylte,0,9,1315,Q498477,municipality,Hallands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8380,,,"Falkenbergs kommun,Halmstads kommun,Ljungby kommun,Gislaveds kommun"
Järfälla kommun,Järfälla kommun,Järfälla,0,9,123,Q301259,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8500,Attunda kommunalförbund,,"Upplands Väsby kommun,Upplands-Bro kommun,Sollentuna kommun,Stockholms kommun"
Jokkmokks kommun,Jokkmokks kommun,Jokkmokk,0,9,2510,Q512048,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8432,,,"Arvidsjaurs kommun,Bodens kommun,Älvsbyns kommun,Gällivare kommun,Arjeplogs kommun"
Jönköpings kommun,Jönköpings kommun,Jönköping,0,9,680,Q504689,municipality,Jönköpings län,,Större stad,Större städer och kommuner nära större stad,8399,,,"Tranås kommun,Ödeshögs kommun,Aneby kommun,Ulricehamns kommun,Tranemo kommun,Nässjö kommun,Vaggeryds kommun,Gislaveds kommun,Mullsjö kommun,Habo kommun"
Kalix kommun,Kalix kommun,Kalix,0,9,2514,Q117091,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8434,,,"Luleå kommun,Haparanda kommun,Övertorneå kommun,Överkalix kommun"
Kalmar kommun,Kalmar kommun,Kalmar,0,9,880,Q508153,municipality,Kalmar län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8412,,,"Emmaboda kommun,Nybro kommun,Mönsterås kommun,Torsås kommun"
Karlsborgs kommun,Karlsborgs kommun,Karlsborg,0,9,1446,Q499435,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8664,Östra Skaraborgs kommunalförbund,,"Töreboda kommun,Tibro kommun,Hjo kommun,Laxå kommun,Askersunds kommun"
Karlshamns kommun,Karlshamns kommun,Karlshamn,0,9,1082,Q510223,municipality,Blekinge län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8343,Västra Blekinges kommunalförbund,,"Olofströms kommun,Sölvesborgs kommun,Ronneby kommun,Tingsryds kommun"
Karlskoga kommun,Karlskoga kommun,Karlskoga,0,9,1883,Q509634,municipality,Örebro län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8702,Bergslagens kommunalförbund,,"Lekebergs kommun,Storfors kommun,Kristinehamns kommun,Degerfors kommun,Nora kommun,Hällefors kommun,Örebro kommun"
Karlskrona kommun,Karlskrona kommun,Karlskrona,0,9,1080,Q1128384,municipality,Blekinge län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8344,Östra Blekinges kommunalförbund,,"Ronneby kommun,Emmaboda kommun,Torsås kommun"
Karlstads kommun,Karlstads kommun,Karlstad,0,9,1780,Q498453,municipality,Värmlands län,,Större stad,Större städer och kommuner nära större stad,8571,Karlstadsregionens kommunalförbund,,"Forshaga kommun,Kils kommun,Storfors kommun,Grums kommun,Kristinehamns kommun,Hammarö kommun,Hagfors kommun,Filipstads kommun"
Katrineholms kommun,Katrineholms kommun,Katrineholm,0,9,483,Q508140,municipality,Södermanlands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8548,Västra Sörmlands kommunalförbund,,"Norrköpings kommun,Vingåkers kommun,Finspångs kommun,Eskilstuna kommun,Flens kommun,Nyköpings kommun"
Kävlinge kommun,Kävlinge kommun,Kävlinge,0,9,1261,Q513370,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8457,Kommunalförbundet Syd,,"Eslövs kommun,Lomma kommun,Lunds kommun,Svalövs kommun,Landskrona kommun"
Kils kommun,Kils kommun,Kil,0,9,1715,Q499393,municipality,Värmlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8572,Karlstadsregionens kommunalförbund,,"Arvika kommun,Sunne kommun,Forshaga kommun,Karlstads kommun,Grums kommun"
Kinda kommun,Kinda kommun,Kinda,0,9,513,Q515299,municipality,Östergötlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8713,,,"Vimmerby kommun,Västerviks kommun,Åtvidabergs kommun,Linköpings kommun,Boxholms kommun,Ydre kommun"
Kiruna kommun,Kiruna kommun,Kiruna,0,9,2584,Q499474,municipality,Norrbottens län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8443,,,"Gällivare kommun,Pajala kommun"
Klippans kommun,Klippans kommun,Klippan,0,9,1276,Q504614,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8455,Söderåsens kommunalförbund,,"Eslövs kommun,Hässleholms kommun,Höörs kommun,Svalövs kommun,Perstorps kommun,Örkelljunga kommun,Åstorps kommun,Ängelholms kommun"
Knivsta kommun,Knivsta kommun,Knivsta,2003-01-01,9,330,Q504465,municipality,Uppsala län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8558,Attunda kommunalförbund,,"Sigtuna kommun,Håbo kommun,Uppsala kommun,Norrtälje kommun"
Köpings kommun,Köpings kommun,Köping,0,9,1983,Q42009,municipality,Västmanlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8610,Västra Mälardalens kommunalförbund,,"Kungsörs kommun,Lindesbergs kommun,Skinnskattebergs kommun,Arboga kommun,Surahammars kommun,Västerås kommun,Hallstahammars kommun"
Kramfors kommun,Kramfors kommun,Kramfors,0,9,2282,Q514815,municipality,Västernorrlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8598,Kommunalförbundet Höga Kusten och Ådalen,,"Härnösands kommun,Örnsköldsviks kommun,Sollefteå kommun"
Kristianstads kommun,Kristianstads kommun,Kristianstad,0,9,1290,Q498857,municipality,Skåne län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8456,Bergslagens kommunalförbund,,"Hässleholms kommun,Simrishamns kommun,Tomelilla kommun,Hörby kommun,Olofströms kommun,Bromölla kommun,Östra Göinge kommun,Osby kommun"
Kristinehamns kommun,Kristinehamns kommun,Kristinehamn,0,9,1781,Q510364,municipality,Värmlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8573,,,"Karlstads kommun,Storfors kommun,Gullspångs kommun,Laxå kommun,Degerfors kommun,Karlskoga kommun"
Krokoms kommun,Krokoms kommun,Krokom,0,9,2309,Q514707,municipality,Jämtlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8388,Jämtland kommunalförbund,,"Åre kommun,Östersunds kommun,Strömsunds kommun"
Kumla kommun,Kumla kommun,Kumla,0,9,1881,Q504988,municipality,Örebro län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8703,Nerikes kommunalförbund,,"Lekebergs kommun,Örebro kommun,Hallsbergs kommun"
Kungälvs kommun,Kungälvs kommun,Kungälv,0,9,1482,Q511394,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8665,Bohus kommunalförbund,,"Stenungsunds kommun,Göteborgs kommun,Ale kommun,Lilla Edets kommun"
Kungsbacka kommun,Kungsbacka kommun,Kungsbacka,0,9,1384,Q499380,municipality,Hallands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8381,Storgöteborgs kommunalförbund,,"Mölndals kommun,Göteborgs kommun,Marks kommun,Varbergs kommun,Härryda kommun"
Kungsörs kommun,Kungsörs kommun,Kungsör,0,9,1960,Q47169,municipality,Västmanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8609,Västra Mälardalens kommunalförbund,,"Eskilstuna kommun,Köpings kommun,Arboga kommun"
Laholms kommun,Laholms kommun,Laholm,0,9,1381,Q487502,municipality,Hallands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8382,,,"Örkelljunga kommun,Ängelholms kommun,Båstads kommun,Halmstads kommun,Ljungby kommun,Markaryds kommun"
Landskrona kommun,Landskrona kommun,Landskrona,0,9,1282,Q502298,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8458,,,"Kävlinge kommun,Helsingborgs kommun,Svalövs kommun"
Laxå kommun,Laxå kommun,Laxå,0,9,1860,Q515326,municipality,Örebro län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8704,Nerikes kommunalförbund,,"Lekebergs kommun,Töreboda kommun,Karlsborgs kommun,Kristinehamns kommun,Gullspångs kommun,Degerfors kommun,Hallsbergs kommun,Askersunds kommun"
Lekebergs kommun,Lekebergs kommun,Lekeberg,1995-01-01,9,1814,Q515282,municipality,Örebro län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8705,Nerikes kommunalförbund,,"Laxå kommun,Degerfors kommun,Karlskoga kommun,Kumla kommun,Örebro kommun,Hallsbergs kommun"
Leksands kommun,Leksands kommun,Leksand,0,9,2029,Q509651,municipality,Dalarnas län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8354,Norra Dalarnas kommunalförbund,,"Rättviks kommun,Mora kommun,Vansbro kommun,Gagnefs kommun,Falu kommun,Borlänge kommun"
Lerums kommun,Lerums kommun,Lerum,0,9,1441,Q503188,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8666,Storgöteborgs kommunalförbund,,"Göteborgs kommun,Partille kommun,Bollebygds kommun,Härryda kommun,Alingsås kommun,Ale kommun"
Lessebo kommun,Lessebo kommun,Lessebo,0,9,761,Q509488,municipality,Kronobergs län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8422,Östra Kronobergs kommunalförbund,,"Emmaboda kommun,Uppvidinge kommun,Tingsryds kommun,Växjö kommun,Nybro kommun"
Lidingö kommun,Lidingö kommun,Lidingö,0,9,186,Q3120654,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8501,Storstockholms kommunalförbund,,"Nacka kommun,Stockholms kommun,Vaxholms kommun,Danderyds kommun"
Lidköpings kommun,Lidköpings kommun,Lidköping,0,9,1494,Q515358,municipality,Västra Götalands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8667,Västra Skaraborgs kommunalförbund,,"Götene kommun,Skara kommun,Vänersborgs kommun,Vara kommun,Grästorps kommun"
Lilla Edets kommun,Lilla Edets kommun,Lilla Edet,0,9,1462,Q511241,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8668,Södra Bohusläns kommunalförbund,,"Stenungsunds kommun,Kungälvs kommun,Uddevalla kommun,Vänersborgs kommun,Trollhättans kommun,Ale kommun"
Lindesbergs kommun,Lindesbergs kommun,Lindesberg,0,9,1885,Q514858,municipality,Örebro län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8706,Nerikes kommunalförbund,,"Nora kommun,Hällefors kommun,Örebro kommun,Ljusnarsbergs kommun,Smedjebackens kommun,Skinnskattebergs kommun,Köpings kommun,Arboga kommun"
Linköpings kommun,Linköpings kommun,Linköping,0,9,580,Q499410,municipality,Östergötlands län,,Större stad,Större städer och kommuner nära större stad,8714,Östra Götalands kommunalförbund,,"Söderköpings kommun,Åtvidabergs kommun,Norrköpings kommun,Finspångs kommun,Motala kommun,Mjölby kommun,Boxholms kommun,Kinda kommun"
Ljungby kommun,Ljungby kommun,Ljungby,0,9,781,Q504235,municipality,Kronobergs län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8423,,,"Laholms kommun,Hylte kommun,Halmstads kommun,Alvesta kommun,Älmhults kommun,Markaryds kommun,Värnamo kommun,Gislaveds kommun"
Ljusdals kommun,Ljusdals kommun,Ljusdal,0,9,2161,Q515235,municipality,Gävleborgs län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8371,,,"Orsa kommun,Rättviks kommun,Härjedalens kommun,Ånge kommun,Ovanåkers kommun,Nordanstigs kommun,Hudiksvalls kommun,Bollnäs kommun"
Ljusnarsbergs kommun,Ljusnarsbergs kommun,Ljusnarsberg,0,9,1864,Q514739,municipality,Örebro län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8707,Nerikes kommunalförbund,,"Ludvika kommun,Hällefors kommun,Lindesbergs kommun,Smedjebackens kommun"
Lomma kommun,Lomma kommun,Lomma,0,9,1262,Q427991,municipality,Skåne län,Stormalmö,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8459,,,"Kävlinge kommun,Burlövs kommun,Staffanstorps kommun,Lunds kommun,Malmö kommun"
Ludvika kommun,Ludvika kommun,Ludvika,0,9,2085,Q503184,municipality,Dalarnas län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8355,Kommunalförbundet DalaMitt,,"Hällefors kommun,Vansbro kommun,Filipstads kommun,Gagnefs kommun,Ljusnarsbergs kommun,Smedjebackens kommun,Borlänge kommun,Säters kommun"
Luleå kommun,Luleå kommun,Luleå,0,9,2580,Q177019,municipality,Norrbottens län,,Större stad,Större städer och kommuner nära större stad,8439,,,"Piteå kommun,Bodens kommun,Älvsbyns kommun,Kalix kommun,Överkalix kommun"
Lunds kommun,Lunds kommun,Lund,0,9,1281,Q505018,municipality,Skåne län,Stormalmö,Större stad,Större städer och kommuner nära större stad,8460,Kommunalförbundet Syd,,"Trelleborgs kommun,Eslövs kommun,Kävlinge kommun,Lomma kommun,Staffanstorps kommun,Svedala kommun,Sjöbo kommun,Skurups kommun"
Lycksele kommun,Lycksele kommun,Lycksele,0,9,2481,Q948462,municipality,Västerbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8583,,,"Vindelns kommun,Norsjö kommun,Bjurholms kommun,Malå kommun,Sorsele kommun,Storumans kommun,Vilhelmina kommun,Åsele kommun"
Lysekils kommun,Lysekils kommun,Lysekil,0,9,1484,Q503173,municipality,Västra Götalands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8669,Kommunalförbundet Mitt Bohuslän,,"Munkedals kommun,Sotenäs kommun,Uddevalla kommun,Orusts kommun"
Malå kommun,Malå kommun,Malå,0,9,2418,Q501540,municipality,Västerbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8584,Malå och Norsjö kommunalförbund,,"Arvidsjaurs kommun,Norsjö kommun,Lycksele kommun,Sorsele kommun"
Malmö kommun,Malmö kommun,Malmö,0,9,1280,Q503361,municipality,Skåne län,Stormalmö,Storstäder,Storstäder och storstadsnära kommuner,8461,Kommunalförbundet Syd,,"Lomma kommun,Burlövs kommun,Staffanstorps kommun,Svedala kommun,Vellinge kommun"
Malung-Sälens kommun,Malung-Sälens kommun,Malung-Sälen,0,9,2023,Q504266,municipality,Dalarnas län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8356,,,"Torsby kommun,Älvdalens kommun,Mora kommun,Vansbro kommun,Hagfors kommun,Filipstads kommun"
Mariestads kommun,Mariestads kommun,Mariestad,0,9,1493,Q427422,municipality,Västra Götalands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8670,Östra Skaraborgs kommunalförbund,,"Götene kommun,Töreboda kommun,Skövde kommun,Gullspångs kommun"
Markaryds kommun,Markaryds kommun,Markaryd,0,9,767,Q240574,municipality,Kronobergs län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8671,,,"Hässleholms kommun,Laholms kommun,Örkelljunga kommun,Osby kommun,Ljungby kommun,Älmhults kommun"
Marks kommun,Marks kommun,Mark,0,9,1463,Q500153,municipality,Västra Götalands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8424,Södra Älvsborgs kommunalförbund,,"Mölndals kommun,Borås kommun,Svenljunga kommun,Falkenbergs kommun,Varbergs kommun,Bollebygds kommun,Härryda kommun,Kungsbacka kommun"
Melleruds kommun,Melleruds kommun,Mellerud,0,9,1461,Q501438,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8672,Norra Älvsborgs kommunalförbund,,"Åmåls kommun,Bengtsfors kommun,Färgelanda kommun,Vänersborgs kommun"
Mjölby kommun,Mjölby kommun,Mjölby,0,9,586,Q267030,municipality,Östergötlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8715,,,"Motala kommun,Linköpings kommun,Boxholms kommun,Vadstena kommun,Ödeshögs kommun"
Mölndals kommun,Mölndals kommun,Mölndal,0,9,1481,Q511270,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8674,Storgöteborgs kommunalförbund,,"Göteborgs kommun,Marks kommun,Härryda kommun,Kungsbacka kommun"
Mönsterås kommun,Mönsterås kommun,Mönsterås,0,9,861,Q515250,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8413,,,"Oskarshamns kommun,Nybro kommun,Kalmar kommun,Högsby kommun"
Mora kommun,Mora kommun,Mora,0,9,2062,Q504239,municipality,Dalarnas län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8357,Norra Dalarnas kommunalförbund,,"Orsa kommun,Rättviks kommun,Leksands kommun,Härjedalens kommun,Älvdalens kommun,Malung-Sälens kommun,Vansbro kommun"
Mörbylånga kommun,Mörbylånga kommun,Mörbylånga,0,9,840,Q514756,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8414,Ölands kommunalförbund,,Borgholms kommun
Motala kommun,Motala kommun,Motala,0,9,583,Q508108,municipality,Östergötlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8716,,,"Finspångs kommun,Mjölby kommun,Linköpings kommun,Vadstena kommun,Hallsbergs kommun,Askersunds kommun"
Mullsjö kommun,Mullsjö kommun,Mullsjö,0,9,642,Q505076,municipality,Jönköpings län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8400,,,"Ulricehamns kommun,Falköpings kommun,Tidaholms kommun,Habo kommun,Jönköpings kommun"
Munkedals kommun,Munkedals kommun,Munkedal,0,9,1430,Q389040,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8673,Kommunalförbundet Mitt Bohuslän,,"Tanums kommun,Sotenäs kommun,Uddevalla kommun,Lysekils kommun,Dals-Eds kommun,Färgelanda kommun"
Munkfors kommun,Munkfors kommun,Munkfors,0,9,1762,Q501494,municipality,Värmlands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8574,Karlstadsregionens kommunalförbund,,"Sunne kommun,Forshaga kommun,Hagfors kommun"
Nacka kommun,Nacka kommun,Nacka,0,9,182,Q946647,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8502,Södertörns kommunalförbund,,"Lidingö kommun,Stockholms kommun,Värmdö kommun,Tyresö kommun,Huddinge kommun"
Nässjö kommun,Nässjö kommun,Nässjö,0,9,682,Q505096,municipality,Jönköpings län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8401,Höglandets kommunalförbund,,"Eksjö kommun,Vetlanda kommun,Aneby kommun,Sävsjö kommun,Vaggeryds kommun,Jönköpings kommun"
Nora kommun,Nora kommun,Nora,0,9,1884,Q285894,municipality,Örebro län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8708,Nerikes kommunalförbund,,"Karlskoga kommun,Hällefors kommun,Lindesbergs kommun,Örebro kommun"
Norbergs kommun,Norbergs kommun,Norberg,0,9,1962,Q37404,municipality,Västmanlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8611,Södra Dalarnas kommunalförbund,,"Smedjebackens kommun,Fagersta kommun,Sala kommun,Avesta kommun,Hedemora kommun"
Nordanstigs kommun,Nordanstigs kommun,Nordanstig,0,9,2132,Q514805,municipality,Gävleborgs län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8372,Norrhälsinge kommunalförbund,,"Ånge kommun,Ljusdals kommun,Hudiksvalls kommun,Sundsvalls kommun"
Nordmalings kommun,Nordmalings kommun,Nordmaling,0,9,2401,Q514722,municipality,Västerbottens län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8585,,,"Bjurholms kommun,Örnsköldsviks kommun,Umeå kommun,Vännäs kommun"
Norrköpings kommun,Norrköpings kommun,Norrköping,0,9,581,Q504676,municipality,Östergötlands län,,Större stad,Större städer och kommuner nära större stad,8717,Östra Götalands kommunalförbund,,"Söderköpings kommun,Finspångs kommun,Linköpings kommun,Katrineholms kommun,Nyköpings kommun"
Norrtälje kommun,Norrtälje kommun,Norrtälje,0,9,188,Q214048,municipality,Stockholms län,Storstockholm,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8503,,,"Östhammars kommun,Vallentuna kommun,Knivsta kommun,Sigtuna kommun,Uppsala kommun,Österåkers kommun"
Norsjö kommun,Norsjö kommun,Norsjö,0,9,2417,Q507644,municipality,Västerbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8586,Malå och Norsjö kommunalförbund,,"Arvidsjaurs kommun,Vindelns kommun,Malå kommun,Lycksele kommun,Skellefteå kommun"
Nybro kommun,Nybro kommun,Nybro,0,9,881,Q515318,municipality,Kalmar län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8415,,,"Emmaboda kommun,Lessebo kommun,Uppvidinge kommun,Kalmar kommun,Mönsterås kommun,Högsby kommun"
Nyköpings kommun,Nyköpings kommun,Nyköping,0,9,480,Q500267,municipality,Södermanlands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8549,,,"Trosa kommun,Norrköpings kommun,Flens kommun,Katrineholms kommun,Gnesta kommun,Oxelösunds kommun"
Nykvarns kommun,Nykvarns kommun,Nykvarn,1997-01-01,9,140,Q499460,municipality,Stockholms län,Storstockholm,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8504,Södertörns kommunalförbund,,"Strängnäs kommun,Södertälje kommun,Gnesta kommun"
Nynäshamns kommun,Nynäshamns kommun,Nynäshamn,0,9,192,Q505090,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8505,Södertörns kommunalförbund,,"Botkyrka kommun,Haninge kommun"
Ockelbo kommun,Ockelbo kommun,Ockelbo,0,9,2101,Q505109,municipality,Gävleborgs län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8373,Gästrike kommunalförbund,,"Gävle kommun,Sandvikens kommun,Falu kommun,Söderhamns kommun,Bollnäs kommun"
Öckerö kommun,Öckerö kommun,Öckerö,0,9,1407,Q293928,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8696,,,Göteborgs kommun
Ödeshögs kommun,Ödeshögs kommun,Ödeshög,0,9,509,Q293970,municipality,Östergötlands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8723,,,"Mjölby kommun,Boxholms kommun,Tranås kommun,Vadstena kommun,Jönköpings kommun"
Olofströms kommun,Olofströms kommun,Olofström,0,9,1060,Q504257,municipality,Blekinge län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8345,Västra Blekinges kommunalförbund,,"Kristianstads kommun,Bromölla kommun,Östra Göinge kommun,Osby kommun,Sölvesborgs kommun,Karlshamns kommun,Tingsryds kommun,Älmhults kommun"
Örebro kommun,Örebro kommun,Örebro,0,9,1880,Q297718,municipality,Örebro län,,Större stad,Större städer och kommuner nära större stad,8709,Nerikes kommunalförbund,,"Vingåkers kommun,Finspångs kommun,Lekebergs kommun,Karlskoga kommun,Nora kommun,Kumla kommun,Lindesbergs kommun,Hallsbergs kommun,Arboga kommun"
Örkelljunga kommun,Örkelljunga kommun,Örkelljunga,0,9,1257,Q297936,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8492,Nordvästra Skånes kommunalförbund,,"Hässleholms kommun,Laholms kommun,Perstorps kommun,Klippans kommun,Ängelholms kommun,Markaryds kommun"
Örnsköldsviks kommun,Örnsköldsviks kommun,Örnsköldsvik,0,9,2284,Q298003,municipality,Västernorrlands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8603,,,"Nordmalings kommun,Bjurholms kommun,Kramfors kommun,Åsele kommun,Sollefteå kommun"
Orsa kommun,Orsa kommun,Orsa,0,9,2034,Q504630,municipality,Dalarnas län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8358,Norra Dalarnas kommunalförbund,,"Rättviks kommun,Härjedalens kommun,Mora kommun,Ljusdals kommun"
Orusts kommun,Orusts kommun,Orust,0,9,1421,Q338752,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8675,,,"Stenungsunds kommun,Uddevalla kommun,Tjörns kommun,Lysekils kommun"
Osby kommun,Osby kommun,Osby,0,9,1273,Q504594,municipality,Skåne län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8478,,,"Hässleholms kommun,Kristianstads kommun,Olofströms kommun,Östra Göinge kommun,Älmhults kommun,Markaryds kommun"
Oskarshamns kommun,Oskarshamns kommun,Oskarshamn,0,9,882,Q505006,municipality,Kalmar län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8416,,,"Mönsterås kommun,Högsby kommun,Hultsfreds kommun,Vimmerby kommun,Västerviks kommun"
