id,label,start,end,scb,wikidata,parent,metro,brå_id,desc
Eksjö kommun,Eksjö kommun,0,9,686,Q512035,Jönköpings län,,8395,
Tranås kommun,Tranås kommun,0,9,687,Q505071,Jönköpings län,,8403,
Uppvidinge kommun,Uppvidinge kommun,0,9,760,Q515505,Kronobergs län,,8426,
Lessebo kommun,Lessebo kommun,0,9,761,Q509488,Kronobergs län,,8422,
Tingsryds kommun,Tingsryds kommun,0,9,763,Q515491,Kronobergs län,,8425,
Alvesta kommun,Alvesta kommun,0,9,764,Q182007,Kronobergs län,,8421,
Älmhults kommun,Älmhults kommun,0,9,765,Q254799,Kronobergs län,,8428,
Markaryds kommun,Markaryds kommun,0,9,767,Q240574,Kronobergs län,,8671,
Växjö kommun,Växjö kommun,0,9,780,Q500217,Kronobergs län,,8427,
Ljungby kommun,Ljungby kommun,0,9,781,Q504235,Kronobergs län,,8423,
Högsby kommun,Högsby kommun,0,9,821,Q510233,Kalmar län,,8411,
Torsås kommun,Torsås kommun,0,9,834,Q515551,Kalmar län,,8417,
Mörbylånga kommun,Mörbylånga kommun,0,9,840,Q514756,Kalmar län,,8414,
Hultsfreds kommun,Hultsfreds kommun,0,9,860,Q512002,Kalmar län,,8410,
Mönsterås kommun,Mönsterås kommun,0,9,861,Q515250,Kalmar län,,8413,
Emmaboda kommun,Emmaboda kommun,0,9,862,Q509452,Kalmar län,,8409,
Kalmar kommun,Kalmar kommun,0,9,880,Q508153,Kalmar län,,8412,
Nybro kommun,Nybro kommun,0,9,881,Q515318,Kalmar län,,8415,
Oskarshamns kommun,Oskarshamns kommun,0,9,882,Q505006,Kalmar län,,8416,
Västerviks kommun,Västerviks kommun,0,9,883,Q515477,Kalmar län,,8419,
Vimmerby kommun,Vimmerby kommun,0,9,884,Q505057,Kalmar län,,8418,
Borgholms kommun,Borgholms kommun,0,9,885,Q509546,Kalmar län,,8408,
Gotlands kommun,Gotlands kommun,0,9,980,Q374794,Gotlands län,,8365,
Olofströms kommun,Olofströms kommun,0,9,1060,Q504257,Blekinge län,,8345,
Karlskrona kommun,Karlskrona kommun,0,9,1080,Q1128384,Blekinge län,,8344,
Ronneby kommun,Ronneby kommun,0,9,1081,Q515373,Blekinge län,,8346,
Karlshamns kommun,Karlshamns kommun,0,9,1082,Q510223,Blekinge län,,8343,
Sölvesborgs kommun,Sölvesborgs kommun,0,9,1083,Q515409,Blekinge län,,8347,
Svalövs kommun,Svalövs kommun,0,9,1214,Q504227,Skåne län,,8484,
Staffanstorps kommun,Staffanstorps kommun,0,9,1230,Q504609,Skåne län,Stormalmö,8483,
Burlövs kommun,Burlövs kommun,0,9,1231,Q186662,Skåne län,Stormalmö,8447,
Vellinge kommun,Vellinge kommun,0,9,1233,Q511338,Skåne län,Stormalmö,8488,
Östra Göinge kommun,Östra Göinge kommun,0,9,1256,Q307370,Skåne län,,8493,
Örkelljunga kommun,Örkelljunga kommun,0,9,1257,Q297936,Skåne län,,8492,
Bjuvs kommun,Bjuvs kommun,0,9,1260,Q511310,Skåne län,,8445,
Kävlinge kommun,Kävlinge kommun,0,9,1261,Q513370,Skåne län,Stormalmö,8457,
Lomma kommun,Lomma kommun,0,9,1262,Q427991,Skåne län,Stormalmö,8459,
Svedala kommun,Svedala kommun,0,9,1263,Q515706,Skåne län,Stormalmö,8485,
Skurups kommun,Skurups kommun,0,9,1264,Q515266,Skåne län,Stormalmö,8482,
Sjöbo kommun,Sjöbo kommun,0,9,1265,Q504601,Skåne län,,8481,
Hörby kommun,Hörby kommun,0,9,1266,Q504619,Skåne län,,8453,
Höörs kommun,Höörs kommun,0,9,1267,Q266401,Skåne län,Stormalmö,8454,
