id,parent,wikidata,type,start,end,brå,brå_id
Stadsdelsnämndsområdet Gunnared,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Stadsdelsnämndsområdet Härlanda,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Stadsdelsnämndsområdet Högsbo,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Stadsdelsnämndsområdet Kortedala,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Stadsdelsnämndsområdet Kärra-Rödbo,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Stadsdelsnämndsområdet Linnéstaden,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Stadsdelsnämndsområdet Lärjedalen,Göteborgs kommun,,stadsdelsnämndsområde,1989-01-01,2010-12-31,,
Inre staden,Stockholms kommun,Q922489,stadsområde,0,9,,
Söderort,Stockholms kommun,Q856671,stadsområde,1913-01-01,9,,
Västerort,Stockholms kommun,Q713613,stadsområde,1916-01-01,9,,
