id,label,label_short,parent,disambiguation-affix,region_level,iso_code,wikidata,start,end
Svalbard og Jan Mayen,Svalbard og Jan Mayen,Svalbard,Norway,,unincorporated_area,SJ,842829,0,9
Jan Mayen,Jan Mayen,Jan Mayen,Norway,,unincorporated_subarea,NO-22,14056,0,9
Svalbard,Svalbard,Svalbard,Norway,,unincorporated_subarea,NO-21,25231,0,9
Peter I Øy,Peter I Øy,Peter I Øy,Norway,,dependency,,202780,0,9
Bouvetøya,Bouvetøya,Bouvetøya,Norway,,dependency,BV,23408,0,9
Dronning Maud Land,Dronning Maud Land,Dronning Maud Land,Norway,,dependency,,189999,0,9
