id,label
SNI2007_10821,tillverkning av sockerkonfektyrer
SNI2007_10822,tillverkning av choklad och chokladkonfektyrer
SNI2007_10830,framställning av te och kaffe
SNI2007_10840,"tillverkning av senap, ketchup, kryddor och andra smaksättningsmedel"
SNI2007_10850,tillverkning av lagad mat och färdigrätter
SNI2007_10860,tillverkning av homogeniserade livsmedelspreparat inklusive dietmat
SNI2007_10890,framställning av andra livsmedel
SNI2007_10910,framställning av beredda fodermedel
SNI2007_10920,framställning av mat till sällskapsdjur
SNI2007_11010,"destillering, rening och tillblandning av spritdrycker"
SNI2007_11020,framställning av vin från druvor
SNI2007_11030,framställning av cider och andra fruktviner
SNI2007_11040,framställning av andra icke-destillerade jästa drycker
SNI2007_11050,framställning av öl
SNI2007_11060,framställning av malt
SNI2007_11070,"framställning av läskedrycker, mineralvatten och annat vatten på flaska"
SNI2007_12000,tobaksvarutillverkning
SNI2007_13100,garntillverkning
SNI2007_13200,vävnadstillverkning
SNI2007_13300,"blekning, färgning och annan textilberedning"
SNI2007_13910,tillverkning av trikåväv
SNI2007_13921,"sömnad av gardiner, sängkläder och linnevaror"
SNI2007_13922,"tillverkning av presenningar, tält, segel o.d."
SNI2007_13930,tillverkning av mattor
SNI2007_13940,tågvirkes- och bindgarnstillverkning
SNI2007_13950,tillverkning av bondad duk
SNI2007_13960,tillverkning av andra tekniska textilier och industritextilier
SNI2007_13990,övrig textilietillverkning
SNI2007_14110,tillverkning av läder- och skinnkläder
SNI2007_14120,"tillverkning av arbets-, skydds- och överdragskläder"
SNI2007_14130,tillverkning av andra gång- och ytterkläder
SNI2007_14140,"tillverkning av underkläder, skjortor och blusar"
SNI2007_14190,tillverkning av andra beklädnadsvaror och tillbehör
SNI2007_14200,tillverkning av pälsvaror
SNI2007_14310,tillverkning av strumpor
SNI2007_14390,tillverkning av andra trikåvaror
SNI2007_15110,garvning och annan läderberedning; pälsberedning
SNI2007_15120,"tillverkning av reseffekter, handväskor, sadel- och seldon m. m."
SNI2007_15200,tillverkning av skodon
SNI2007_16101,sågning av trä
SNI2007_16102,hyvling av trä
SNI2007_16103,träimpregnering
SNI2007_16210,tillverkning av fanér och träbaserade skivor
SNI2007_16220,tillverkning av sammansatta parkettgolv
SNI2007_16231,tillverkning av monteringsfärdiga trähus
SNI2007_16232,tillverkning av dörrar av trä
SNI2007_16233,tillverkning av fönster av trä
SNI2007_16239,tillverkning av övriga byggnads- och inredningssnickerier
SNI2007_16240,träförpackningstillverkning
SNI2007_16291,tillverkning av förädlade trädbränslen
SNI2007_16292,övrig trävarutillverkning
SNI2007_16293,"tillverkning av varor av kork, halm, rotting o.d."
SNI2007_17111,tillverkning av mekanisk eller halvkemisk massa
SNI2007_17112,sulfatmassatillverkning
SNI2007_17113,sulfitmassatillverkning
SNI2007_17121,tillverkning av tidnings- och journalpapper
SNI2007_17122,"tryckpapperstillverkning, ej tidnings- och journalpapper"
SNI2007_17123,tillverkning av kraftpapper och kraftpapp
SNI2007_17129,övrig tillverkning av papper och papp
SNI2007_17211,tillverkning av wellpapp och wellpappförpackningar
SNI2007_17219,övrig tillverkning av pappers- och pappförpackningar
SNI2007_17220,tillverkning av hushålls- och hygienartiklar av papper
SNI2007_17230,"tillverkning av skrivpapper, kuvert o.d."
SNI2007_17240,tapettillverkning
SNI2007_17290,tillverkning av andra pappers- och pappvaror
SNI2007_18110,tryckning av dagstidningar
SNI2007_18121,tryckning av tidskrifter
SNI2007_18122,tryckning av böcker och övriga trycksaker
SNI2007_18130,grafiska tjänster före tryckning (prepress/premedia)
SNI2007_18140,bokbindning och andra tjänster i samband med tryckning
SNI2007_18200,reproduktion av inspelningar
SNI2007_19100,tillverkning av stenkolsprodukter
SNI2007_19200,petroleumraffinering
SNI2007_20110,industrigasframställning
SNI2007_20120,tillverkning av färgämnen
SNI2007_20130,tillverkning av andra oorganiska baskemikalier
SNI2007_20140,tillverkning av andra organiska baskemikalier
SNI2007_20150,tillverkning av gödselmedel och kväveprodukter
SNI2007_20160,basplastframställning
SNI2007_20170,tillverkning av syntetiskt basgummi
SNI2007_20200,tillverkning av bekämpningsmedel och andra lantbrukskemiska produkter
SNI2007_20300,"tillverkning av färg, lack, tryckfärg m.m."
SNI2007_20410,"tillverkning av tvål, såpa, tvättmedel och polermedel"
SNI2007_20420,tillverkning av parfymer och toalettartiklar
SNI2007_20510,sprängämnestillverkning
SNI2007_20520,tillverkning av lim
SNI2007_20530,tillverkning av eteriska oljor
SNI2007_20590,tillverkning av övriga kemiska produkter
SNI2007_20600,konstfibertillverkning
SNI2007_21100,tillverkning av farmaceutiska basprodukter
SNI2007_21200,tillverkning av läkemedel
SNI2007_22110,tillverkning av däck och slangar; regummering
SNI2007_22190,annan gummivarutillverkning
SNI2007_22210,tillverkning av plasthalvfabrikat
SNI2007_22220,plastförpackningstillverkning
SNI2007_22230,byggplastvarutillverkning
SNI2007_22290,annan plastvarutillverkning
SNI2007_23110,framställning av planglas
SNI2007_23120,bearbetning av planglas
