id,label,parent
4297,"Våldsbrott, Misshandel inkl.grov, Mot flicka 15-17 år, Inomhus, bekant med offret",3161
4298,"Våldsbrott, Misshandel inkl.grov, Mot flicka 15-17 år, Inomhus, obekant med offret",3161
4299,"Våldsbrott, Misshandel inkl.grov, Mot flicka 15-17 år, Utomhus, bekant med offret",3161
4300,"Våldsbrott, Misshandel inkl.grov, Mot flicka 15-17 år, Utomhus, obekant med offret",3161
4301,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år",3161
4302,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Inomhus",3161
4303,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Utomhus",3161
4305,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Bekant med offret",3161
4306,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Obekant med offret",3161
4307,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Inomhus, bekant med offret",3161
4308,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Inomhus, obekant med offret",3161
4309,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Utomhus, bekant med offret",3161
4310,"Våldsbrott, Misshandel inkl.grov, Mot pojke 15-17 år, Utomhus, obekant med offret",3161
4311,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre",3161
4312,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Inomhus",3161
4313,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Utomhus",3161
4314,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Bekant med offret",3161
4315,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Obekant med offret",3161
4316,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Inomhus, bekant med offret",3161
4317,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Inomhus, obekant med offret",3161
4318,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Utomhus, bekant med offret",3161
4319,"Våldsbrott, Misshandel inkl.grov, Mot kvinna 18 år eller äldre, Utomhus, obekant med offret",3161
