id,label,label__sv,label__en
public ownership,Public ownership,Offentlig ägda,Public ownership
private ownership,Private ownership,Privatäga,Private ownership
municipality ownership,Owned by the municipality,Kommunalt ägda,Owned by the municipality
all ownerships,Both public and private ownerships,Både offentligt och privat ägda,Both public and private ownerships
