"id","municipality","original_id","road_name","road_number","road_type","station"
"02025","Norrtälje kommun","02025","Länsväg 283","283","county_road","02025"
"21019","Ovanåkers kommun","21019","Länsväg 301","301","county_road","21019"
"21017","Gävle kommun","21017","Riksväg 56","56","national_road","21017"
"22015","Örnsköldsviks kommun","22015","E4","E4","street","22015"
"21016","Ovanåkers kommun","21016","Länsväg 301","301","county_road","21016"
"20016","Avesta kommun","20016","Riksväg 68","68","national_road","20016"
"20018","Falu kommun","20018","Riksväg 69","69","national_road","20018"
"20012","Smedjebackens kommun","20012","Riksväg 66","66","national_road","20012"
"20013","Ludvika kommun","20013","Riksväg 50","50","national_road","20013"
"20014","Hedemora kommun","20014","Länsväg 270","270","county_road","20014"
"03016","Uppsala kommun","03016","Länsväg 272","272","county_road","03016"
"14067","Uddevalla kommun","14067","Länsväg 678","678","county_road","14067"
"14054","Tranemo kommun","14054","Riksväg 27","27","national_road","14054"
"14055","Ulricehamns kommun","14055","Riksväg 46","46","national_road","14055"
"14058","Marks kommun","14058","Länsväg 156","156","county_road","14058"
"14059","Härryda kommun","14059","Länsväg 156","156","county_road","14059"
"14060","Ulricehamns kommun","14060","Länsväg 157","157","county_road","14060"
"14061","Orusts kommun","14061","Länsväg 160","160","county_road","14061"
"14062","Lysekils kommun","14062","Länsväg 162","162","county_road","14062"
"14063","Uddevalla kommun","14063","Länsväg 172","172","county_road","14063"
"14064","Skara kommun","14064","Länsväg 184","184","county_road","14064"
"14065","Kungälvs kommun","14065","Länsväg 604","604","county_road","14065"
"14066","Kungälvs kommun","14066","Länsväg 625","625","county_road","14066"
"E18 Björkås-Bergvik","Karlstads kommun","E18 Björkås-Bergvik","E18","E18","street",
"Rv 17 Snogeröd-Fogdarp","Höörs kommun","Rv 17 Snogeröd-Fogdarp","Riksväg 17","17","national_road",
"Rv 72 Gamla U Lgr-Uppsala","Uppsala kommun","Rv 72 Gamla U Lgr-Uppsala","Riksväg 72","72","national_road",
"Rv 26 Smålandsst - Gislaved","Gislaveds kommun","Rv 26 Smålandsst - Gislaved","Riksväg 26","26","national_road",
"E10 Skaulo - Poultikasvaara","Gällivare kommun","E10 Skaulo - Poultikasvaara","E10","E10","street",
"E10 Gyljen - Landsjärv","Överkalix kommun","E10 Gyljen - Landsjärv","E10","E10","street",
"Rv 51.01 Kvarntorp-Örebro","Kumla kommun","Rv 51.01 Kvarntorp-Örebro","Riksväg 51","51","national_road",
"Rv 55 Dunker-Länna","Flens kommun","Rv 55 Dunker-Länna","Riksväg 55","55","national_road",
"Rv 55 Flen-Malmköping","Flens kommun","Rv 55 Flen-Malmköping","Riksväg 55","55","national_road",
"E14 Nacksta - Berg","Sundsvalls kommun","E14 Nacksta - Berg","E14","E14","street",
"E12 Granö - Lycksele","Vindelns kommun","E12 Granö - Lycksele","E12","E12","street",
"Lv 156 Hajom-Skoghem","Marks kommun","Lv 156 Hajom-Skoghem","Länsväg 156","156","county_road",
"Rv 26 Hasslerör -Sjötorp","Mariestads kommun","Rv 26 Hasslerör -Sjötorp","Riksväg 26","26","national_road",
"E20 Korsningar Kungsör (väster - öster)","Kungsörs kommun","E20 Korsningar Kungsör (väster - öster)","E20","E20","street",
