"id","municipality","original_id","road_name","road_number","road_type","station"
"Rv23_34 Målilla-Gullringen","Vimmerby kommun","Rv23/34 Målilla-Gullringen","Riksväg 23","23","national_road",
"Rv 52 Skavsta-Nyköping","Nyköpings kommun","Rv 52 Skavsta-Nyköping","Riksväg 52","52","national_road",
"E 22 Lösen - Jämjö","Karlskrona kommun","E 22 Lösen - Jämjö","E22","E22","street",
"E 45 Del genom Göta","Lilla Edets kommun","E 45 Del genom Göta","E45","E45","street",
"Rv 27 Kärda - Bredaryd","Värnamo kommun","Rv 27 Kärda - Bredaryd","Riksväg 27","27","national_road",
"Rv31_40 Nässjö-Eksjö","Nässjö kommun","Rv31/40 Nässjö-Eksjö","Riksväg 31","31","national_road",
"E 22_Lv 669 Björketorp korsning (väster-öster)","Ronneby kommun","E 22/Lv 669 Björketorp korsning (väster-öster)","E22","E22","street",
"RV 40 Getared-Toppsjön","Ulricehamns kommun","RV 40 Getared-Toppsjön","Länsväg 1704","1704","county_road",
"Rv 50   Söderhamn - Överbo","Söderhamns kommun","Rv 50,  Söderhamn - Överbo","Riksväg 50","50","national_road",
"Lv 61 Arvika -Speked","Arvika kommun","Lv 61 Arvika -Speked","Riksväg 61","61","national_road",
"Rv 55 Hjulsta - Enköping","Enköpings kommun","Rv 55 Hjulsta - Enköping","Riksväg 55","55","national_road",
"Rv 27 Tranemo - Länghem","Tranemo kommun","Rv 27 Tranemo - Länghem","Riksväg 27","27","national_road",
"E 4  Kalix-Bredviken","Kalix kommun","E 4  Kalix-Bredviken","E4","E4","street",
"Lv 257 Rosenhill - Västerhaninge","Haninge kommun","Lv 257 Rosenhill - Västerhaninge","Länsväg 257","257","county_road",
"Lv 266 Hedemora-Uppbo Fäggeby","Hedemora kommun","Lv 266 Hedemora-Uppbo Fäggeby","Riksväg 69","69","national_road",
"Lv 100 Höllviken","Vellinge kommun","Lv 100 Höllviken","Länsväg 100","100","county_road",
"Rv 27 Bredaryd-Anderstorp","Värnamo kommun","Rv 27 Bredaryd-Anderstorp","Riksväg 27","27","national_road",
"Rv 35 Åtvidaberg - Grebo","Åtvidabergs kommun","Rv 35 Åtvidaberg - Grebo","Riksväg 35","35","national_road",
"Rv 44 Baggården (Tre älgar)- Häljestena","Grästorps kommun","Rv 44 Baggården (Tre älgar)- Häljestena","Riksväg 44","44","national_road",
"Rv 80 Storvik - Hofors","Hofors kommun","Rv 80 Storvik - Hofors","E16","E16","street",
"E4 Sangis-Nikkala","Kalix kommun","E4 Sangis-Nikkala","E4","E4","street",
"Rv50 E-länsgräns - Åsbro","Askersunds kommun","Rv50 E-länsgräns - Åsbro","Riksväg 50","50","national_road",
"Lv1153 E4-Skärblacka","Norrköpings kommun","Lv1153 E4-Skärblacka","Länsväg 1153","1153","county_road",
"E22 Gladhammar-Verkebäck","Västerviks kommun","E22 Gladhammar-Verkebäck","Riksväg 40","40","national_road",
"Rv70 Enköping-Sala","Enköpings kommun","Rv70 Enköping-Sala","Riksväg 70","70","national_road",
"Lv 259 Glömsta - Jordbro","Huddinge kommun","Lv 259 Glömsta - Jordbro","Länsväg 259","259","county_road",
"Lv226 Stockholm-Vårsta","Huddinge kommun","Lv226 Stockholm-Vårsta","Länsväg 226","226","county_road",
"Rv 55 Strängnäsbron - Hjulstabron","Strängnäs kommun","Rv 55 Strängnäsbron - Hjulstabron","Riksväg 55","55","national_road",
"E 45 Vänerborg - N Brålanda","Vänersborgs kommun","E 45 Vänerborg - N Brålanda","E45","E45","street",
"Lv 161 Skår - Rotviksbro","Uddevalla kommun","Lv 161 Skår - Rotviksbro","Länsväg 161","161","county_road",
"E 45 Stallbackabron","Trollhättans kommun","E 45 Stallbackabron","E45","E45","street",
"E 4 Lillåbron - Bygdeå","Robertsfors kommun","E 4 Lillåbron - Bygdeå","E4","E4","street",
"E 6.21  Lundbytunneln i Göteborg","Göteborgs kommun","E 6.21, Lundbytunneln i Göteborg","E6/21","E6/21","street",
"Rv 44 Håsten(2044)-Gålstad(2050)","Trollhättans kommun","Rv 44 Håsten(2044)-Gålstad(2050)","Riksväg 44","44","national_road",
"E20 Skara(184)-Lundsbrunn(2711)","Skara kommun","E20 Skara(184)-Lundsbrunn(2711)","E20","E20","street",
"Rv55 Örsundsbro-Kvarnbolund","Enköpings kommun","Rv55 Örsundsbro-Kvarnbolund","Riksväg 55","55","national_road",
"Lv288 Leista-Gimo-Östhammar","Östhammars kommun","Lv288 Leista-Gimo-Östhammar","Länsväg 288","288","county_road",
"Rv 56 Gysinge - Överhärde","Gävle kommun","Rv 56 Gysinge - Överhärde","Riksväg 56","56","national_road",
"E 4 Njururundabommen-Sundsvall","Sundsvalls kommun","E 4 Njururundabommen-Sundsvall","Länsväg 562","562","county_road",
"Rv 63 Karlstad-Molkom","Karlstads kommun","Rv 63 Karlstad-Molkom","Riksväg 63","63","national_road",
"E 45 Fagerås-Sunne","Sunne kommun","E 45 Fagerås-Sunne","E45","E45","street",
"Lv 160 Myggenäs(169)-Varekil (734)","Tjörns kommun","Lv 160 Myggenäs(169)-Varekil (734)","Länsväg 160","160","county_road",
"Rv 26 Halmstad-Oskarström","Halmstads kommun","Rv 26 Halmstad-Oskarström","Riksväg 26","26","national_road",
"Rv 41 Veddige(865)-Länsgränsen","Varbergs kommun","Rv 41 Veddige(865)-Länsgränsen","Riksväg 41","41","national_road",
"Lv 111 Laröd-Domsten","Helsingborgs kommun","Lv 111 Laröd-Domsten","Länsväg 111","111","county_road",
"Rv 70 N Amsberg - Häradsbygden","Borlänge kommun","Rv 70 N Amsberg - Häradsbygden","E16","E16","street",
"Rv 70 Leksand - Mora","Rättviks kommun","Rv 70 Leksand - Mora","Riksväg 70","70","national_road",
"E 4 Sikeå - Grimsmark","Robertsfors kommun","E 4 Sikeå - Grimsmark","E4","E4","street",
"E 4 Grimsmark - Bureå","Skellefteå kommun","E 4 Grimsmark - Bureå","E4","E4","street",
"E 12 Lycksele (lugnet-centrum)","Lycksele kommun","E 12 Lycksele (lugnet-centrum)","E12","E12","street",
