id,label,parent
bra_11097,"Brott mot brottsbalken, 8-12 kap. Brott mot förmögenhet, 10 kap. Förskingring och annan trolöshet",bra_11087
bra_11098,"Brott mot brottsbalken, 8-12 kap. Brott mot förmögenhet, 11 kap. Brott mot borgenärer m.m.",bra_11087
bra_11099,"Brott mot brottsbalken, 8-12 kap. Brott mot förmögenhet, 12 kap. Skadegörelsebrott",bra_11087
bra_11100,"Brott mot brottsbalken, 13-15 kap. Brott mot allmänheten, 13 kap. Allmänfarliga brott",bra_11088
bra_11101,"Brott mot brottsbalken, 13-15 kap. Brott mot allmänheten, 14 kap. Förfalskningsbrott",bra_11088
bra_11102,"Brott mot brottsbalken, 13-15 kap. Brott mot allmänheten, 15 kap. Mened, falskt åtal m.m.",bra_11088
bra_11103,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 16 kap. Brott mot allmän ordning",bra_11089
bra_11104,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 17 kap. Brott mot allmän verksamhet",bra_11089
bra_11105,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 18 kap. Högmålsbrott",bra_11089
bra_11106,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 19 kap. Brott mot rikets säkerhet",bra_11089
bra_11107,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 20 kap. Tjänstefel m.m.",bra_11089
bra_11108,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 22 kap. Om landsförräderi m.m.",bra_11089
bra_11849,"Brott mot brottsbalken, 16-22 kap. Brott mot staten, 21 kap. Om brott av krigsmän (kapitel träder i tillämpning när riket kommer i krig)",bra_11089
bra_11130,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Misshandel inkl. grov (5, 6 §)",bra_11090
bra_11131,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Vållande till annans död (7, 10 §)",bra_11090
bra_11734,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Vållande till kroppsskada/sjukdom, ej i samband med trafikolycka (8, 10 §)",bra_11090
bra_11740,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Framkallande av fara för annan (9, 10 §)",bra_11090
bra_11802,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §)",bra_11090
bra_13044,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för sexuella ändamål ",bra_11091
bra_13045,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för tvångsarbete",bra_11091
bra_13046,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för tiggeri",bra_11091
bra_13047,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för organhandel",bra_11091
bra_13048,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för sexuella ändamål , Med barn under 18 år",bra_11091
bra_13049,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för tvångsarbete, Med barn under 18 år",bra_11091
bra_13050,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för tiggeri, Med barn under 18 år",bra_11091
bra_13051,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för organhandel, Med barn under 18 år",bra_11091
bra_13052,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för sexuella ändamål , Med person 18 år eller äldre",bra_11091
bra_13053,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för tvångsarbete, Med person 18 år eller äldre",bra_11091
bra_13054,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för tiggeri, Med person 18 år eller äldre",bra_11091
bra_13055,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för organhandel, Med person 18 år eller äldre",bra_11091
bra_13056,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Annan människohandel än för sexuella ändamål",bra_11091
bra_13057,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Annan människohandel än för sexuella ändamål, Med barn under 18 år",bra_11091
bra_13058,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Annan människohandel än för sexuella ändamål, Med person 18 år eller äldre",bra_11091
bra_13072,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för krigstjänst",bra_11091
bra_13073,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för krigstjänst, Med barn under 18 år",bra_11091
bra_13074,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för krigstjänst, Med person 18 år eller äldre",bra_11091
bra_13075,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för övriga ändamål",bra_11091
bra_13076,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för övriga ändamål, Med barn under 18 år",bra_11091
bra_13077,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §), Människohandel för övriga ändamål, Med person 18 år eller äldre",bra_11091
bra_13084,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Kränkande fotografering (6 a §)",bra_11091
bra_13086,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Äktenskapstvång, vilseledande till tvångsäktenskapsresa (4 c, 4 d §)",bra_11091
bra_13125,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år, Mot flicka under 18 år, Internetrelaterat",bra_11091
bra_13126,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år, Mot flicka under 18 år, Ej internetrelaterat",bra_11091
bra_13127,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år, Mot pojke under 18 år, Internetrelaterat",bra_11091
bra_13128,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot barn under 18 år, Mot pojke under 18 år, Ej internetrelaterat",bra_11091
bra_13129,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot kvinna 18 år eller äldre, Internetrelaterad",bra_11091
bra_13130,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot kvinna 18 år eller äldre, Ej internetrelaterad",bra_11091
bra_13131,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot man 18 år eller äldre, Internetrelaterad",bra_11091
bra_13132,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot man 18 år eller äldre, Ej internetrelaterad",bra_11091
bra_13133,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot grupp, Internetrelaterad",bra_11091
bra_13134,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga hot (5 §), Mot grupp, Ej internetrelaterad",bra_11091
bra_13184,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig identitetsanvändning (6 b §)",bra_11091
bra_13185,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig identitetsanvändning (6 b §), Mot barn under 18 år",bra_11091
bra_13186,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig identitetsanvändning (6 b §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_13187,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig identitetsanvändning (6 b §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_13188,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig identitetsanvändning (6 b §), Mot kvinna 18 år eller äldre",bra_11091
bra_13189,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olovlig identitetsanvändning (6 b §), Mot man 18 år eller äldre",bra_11091
bra_5046,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga tvång (4 §)",bra_11091
bra_5047,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga tvång (4 §), Mot barn under 18 år",bra_11091
bra_5048,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga tvång (4 §), Mot kvinna 18 år eller äldre",bra_11091
bra_5049,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga tvång (4 §), Mot man 18 år eller äldre",bra_11091
bra_5050,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga tvång (4 §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_5051,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga tvång (4 §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_5053,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga integritetsintrång (6 c, 6 d §)",bra_11091
bra_5054,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga integritetsintrång (6 c, 6 d §), Mot barn under 18 år",bra_11091
bra_5055,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga integritetsintrång (6 c, 6 d §), Mot kvinna 18 år eller äldre",bra_11091
bra_5056,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga integritetsintrång (6 c, 6 d §), Mot man 18 år eller äldre",bra_11091
bra_5057,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga integritetsintrång (6 c, 6 d §), Mot barn under 18 år, Mot flicka under 18 år",bra_11091
bra_5058,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Olaga integritetsintrång (6 c, 6 d §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_11297,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människorov, olaga frihetsberövande (1-2 §)",bra_11091
bra_11298,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människohandel (1 a §)",bra_11091
